Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-01-01;93,8;965,1;20,6;30,4;24,2;19,5;82;52;9,8;1,2;
2010-01-02;19,2;965,7;19,9;29,8;23,4;19,6;82,5;54;12,4;1;
2010-01-03;17;965,3;20,9;31,4;24,5;20,2;82,1;49;10,7;1,4;
2010-01-04;3,8;966,3;20,9;31;25;21;79,5;48;6,7;,8;
2010-01-05;0;965,4;20;32,2;26,3;22,6;69,9;43;5,7;1,3;
2010-01-06;0;964,2;20;32,1;25,6;21,6;73,1;46;8,3;1;
2010-01-07;0;964,6;20,6;29,7;25;20,3;77,2;59;4,4;,9;
2010-01-08;0;965,7;20,8;27,9;24,5;22,7;80,5;58;9,7;1;
2010-01-09;0;965,3;20,6;26,7;23,3;20,6;85,5;71;4;1,2;
2010-01-10;5,8;965,2;21,6;28,5;23,4;22,2;89,9;63;5,7;1,1;
2010-01-11;3,4;965,5;20,3;28,6;23,3;18,8;83,9;61;4,8;1,2;
2010-01-12;0;965,4;20,8;31,9;25,3;20,2;78,3;47;4,7;1,1;
2010-01-13;2,2;966,5;21,1;31;25,2;21,1;79,1;52;6,5;1,3;
2010-01-14;3,8;966,7;21,1;30,1;25,2;21,7;79,3;54;6,5;,9;
2010-01-15;0;966,8;20,6;32;26,1;22,6;74;44;6,9;1,3;
2010-01-16;0;966,9;18,8;33;26,4;21,4;66,5;32;8,2;1,5;
2010-01-17;,2;967;19,5;32;26,7;22,2;66,9;37;8,5;1,8;
2010-01-18;4,4;967,1;20,3;31,2;24,7;20,8;78,3;45;10,3;1;
2010-01-19;,8;965,6;20,6;33,3;25,6;20,6;76,4;43;5,4;1,1;
2010-01-20;0;965,9;18,8;32,5;25,5;19,3;69,7;39;9,4;1,4;
2010-01-21;0;965,9;19,5;32,3;25,4;20,5;72,3;43;7,4;1,2;
2010-01-22;,8;965,1;20;32,2;26;21,1;71,4;42;6,5;1,4;
2010-01-23;0;964;18,1;33;26,1;21,3;64,5;31;6,4;1,3;
2010-01-24;0;963,8;18,2;33,3;25,7;20;66,1;33;8,4;1,4;
2010-01-25;0;963,8;17,9;34;26;19,3;64,1;31;6,3;1,3;
2010-01-26;8;964,1;20,7;30,7;25;21,9;77,5;56;8,1;1;
2010-01-27;4,6;963,7;21,7;31,9;25,8;22,3;79,5;50;7,6;1,3;
2010-01-28;22;964;21,5;31,2;25,6;20,9;79,6;51;8,3;1,5;
2010-01-29;31;964,1;21,1;31,2;25,4;20,2;78,7;51;17;1,8;
2010-01-30;,2;964,5;20,8;31,7;26,4;22,9;73,4;45;7,9;1,5;
2010-01-31;0;965,1;20,7;31,2;26,7;22,9;70,6;52;8,1;1,9;
2010-02-01;0;966;20,6;31,7;26,6;22,3;71,2;40;7,4;1,5;
2010-02-02;0;965,8;19,7;31,5;26,7;22,3;67,2;43;9,1;1,6;
2010-02-03;0;965,3;20,1;31,8;26;21,3;71,5;44;7,5;1,6;
2010-02-04;0;964,9;19,5;33,6;26,7;21,5;66,9;33;8,3;1,4;
2010-02-05;0;964,2;19,1;33,6;27,6;21,8;62,3;34;8,3;1,6;
2010-02-06;0;964,5;17,7;32,9;27,2;21,7;58,2;28;6,3;1,7;
2010-02-07;0;963,9;19,3;32,8;26,6;21,7;66,2;42;5,3;1,1;
2010-02-08;,6;964,2;21,5;27,9;25;22,7;81,5;57;8;1,1;
2010-02-09;38,6;964;21,8;28,6;24,8;21;84,5;64;6,5;1,1;
2010-02-10;2,6;963;21,4;30,5;25,2;22,2;80,6;55;7,6;1,4;
2010-02-11;0;962,5;19;31,6;26;21,2;66,7;44;7,9;1,7;
2010-02-12;3,2;963,8;20,8;32,4;25,8;22,4;75,5;44;6;1,2;
2010-02-13;0;965;20,8;32,7;25,9;21,4;75,5;44;6,7;1,4;
2010-02-14;0;964,6;20,3;34,6;26,6;21,3;70,9;39;5,7;1,2;
2010-02-15;0;965,1;20,8;31,1;25,3;21,5;77;55;7,4;1,2;
2010-02-16;0;965;21,3;31,3;25,9;22,6;77,5;48;9;1,4;
2010-02-17;,4;965,2;21,2;32,5;26,2;22,4;75,7;45;6,8;1,3;
2010-02-18;0;965,3;19,7;34,4;27,3;22,4;67,1;30;9,8;1,7;
2010-02-19;0;966,1;19,6;34,9;27,6;20,7;64,6;34;11,2;2;
2010-02-20;10,2;965,4;19,3;32,7;27,3;21,9;63,7;38;10,8;2,5;
2010-02-21;0;964,8;17,8;33,6;27;21,1;59;35;8,8;1,8;
2010-02-22;0;964,6;19,8;35,1;27,5;22;64,8;36;5,7;1,1;
2010-02-23;0;964,5;20,8;34;27,2;23;69,3;43;7,6;1,2;
2010-02-24;48,2;965,4;21,5;30;25,1;21,5;81,2;59;7,1;1,3;
2010-02-25;,2;964,8;21,1;32,1;25,7;22,2;76,9;52;6,7;1,1;
2010-02-26;,2;963,8;21,5;33,7;26,4;21,7;76,3;46;7;1,1;
2010-02-27;0;964,2;21,3;33;26,9;22,1;73,3;46;6,3;1,2;
2010-02-28;0;965,1;21,2;32,6;27,2;23,6;71,6;42;7,2;1,3;
2010-03-01;0;965,7;20,4;32,9;26,2;21,2;72,1;43;6,7;1;
2010-03-02;0;965,3;20,2;34,2;26,3;20,6;72,4;37;6,3;1;
2010-03-03;0;965,4;20;34,1;26,2;21;71,1;35;5,6;1;
2010-03-04;0;965;19,7;33,5;26;20,7;71,2;37;6,3;1,2;
2010-03-05;0;963,9;20,2;34;26,6;21;70,6;36;6,4;1,1;
2010-03-06;0;963,2;20,1;32,3;25,8;20,7;73,4;44;7,5;1,1;
2010-03-07;0;963,9;20,8;33,3;27;22,1;71,2;43;6,1;1,1;
2010-03-08;0;964,8;20,1;35;27,1;21,8;68;34;6,3;1,1;
2010-03-09;0;964,5;20,1;36;28;23;65,6;29;5,8;1,2;
2010-03-10;0;964;19,7;35,5;28;23,6;63,1;33;5,8;1,2;
2010-03-11;0;963,2;18,4;36;26,9;19,8;63,6;28;6,9;1,1;
2010-03-12;0;963,6;19,5;36,4;28,1;22,1;62,3;30;5,9;1;
2010-03-13;0;965;19,2;35,9;28,8;24,1;59,2;28;7,3;1,3;
2010-03-14;0;966,2;18,5;34,8;27,2;21,7;62,6;29;8,1;1,3;
2010-03-15;6,6;965,4;20,3;35,1;27;21,9;70,2;32;7,4;1,4;
2010-03-16;,6;964,5;18,1;36;28,6;23,8;57,3;26;9,5;1,8;
2010-03-17;0;964,4;15,9;35,8;28,4;22,2;49,2;23;8,8;2,1;
2010-03-18;42,4;965,8;20,4;34,2;26,8;21,9;71,4;36;7,2;1,5;
2010-03-19;56,2;967,1;21,1;32,2;25,4;20,7;79;46;7,2;1,3;
2010-03-20;0;965,8;21,3;31,2;26;22,2;76,5;51;9,5;1,3;
2010-03-21;37,6;965,9;21,3;26,8;23,3;20,7;88,8;68;9,6;1,2;
2010-03-22;1;965,2;21,7;32,2;25,7;21,6;80,6;47;6,2;,9;
2010-03-23;0;964,7;20;33,5;27;22,9;68,6;31;7,7;1,5;
2010-03-24;0;964,1;18,8;33,8;27,4;21,9;61,5;34;7,5;1,7;
2010-03-25;0;964,2;19,9;34,2;27,1;21,1;66,6;37;4,8;1,1;
2010-03-26;0;965;20,6;31;25,9;22,2;73,8;51;6,6;1,3;
2010-03-27;2;964,9;22,1;27;24,2;22,7;88,6;75;3,5;1;
2010-03-28;,8;964,7;21,9;31,4;25,4;22,4;82,8;52;5,7;1,2;
2010-03-29;11,6;965,7;22,1;29,2;24,6;22,2;86,5;64;6,7;,9;
2010-03-30;0;964,9;21,9;32,5;25,2;21,8;83,7;52;9,5;1,2;
2010-03-31;5,4;963,6;22,6;32,5;26,3;22,7;82;50;4,8;1,1;
2010-04-01;0;962,8;22,1;32,9;27,3;23,7;75,5;45;5;1,2;
2010-04-02;30;963,5;21,9;32,3;26;22,1;80,3;50;8,3;1,1;
2010-04-03;4,2;964,2;22,1;33,8;26,6;22,8;78,4;43;5,1;1;
2010-04-04;3,6;965;22,1;32,2;26,3;22,3;79,3;47;8,2;1,1;
2010-04-05;0;964,1;21,7;33,7;27;22,9;75,7;43;6,4;1,1;
2010-04-06;3,4;963;22,6;33;26,6;23,5;80,3;48;6,5;1,1;
2010-04-07;0;962,8;22,4;32,2;26,5;22,8;79,5;51;5,2;1,1;
2010-04-08;2;963,7;22,6;31,6;26,4;22,9;80,8;57;6,2;1,1;
2010-04-09;108,2;965,9;21,9;30,5;24,6;21;86,2;57;6,2;1,1;
2010-04-10;0;965,9;22;30,8;24,6;21,5;86;55;11,3;1,3;
2010-04-11;85,4;964,9;21,9;29,3;24,3;20,8;86,9;64;7,2;1,3;
